#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CM049493.1	+	35746	35784	39	NC_092131.1	+	1577937	1577975	39	94.9%
CM049493.1	+	118421	118926	506	NC_092131.1	+	1511344	1511861	518	88.5%
CM049493.1	+	130495	131012	518	NC_092131.1	+	1523422	1523927	506	89.1%
CM049493.1	+	174944	180950	6007	NC_092131.1	+	1421991	1428305	6315	94.4%
CM049493.1	+	180943	190182	9240	NC_092131.1	+	1430408	1439855	9448	94.4%
CM049493.1	+	201735	201897	163	NC_092131.1	+	1451722	1451880	159	76.8%
CM049493.1	+	202153	211605	9453	NC_092131.1	+	1451889	1461120	9232	94.5%
CM049493.1	+	208574	218666	10093	NC_092131.1	+	123638	133744	10107	94.8%
CM049493.1	+	213708	220021	6314	NC_092131.1	+	1461113	1467251	6139	94.5%
CM049493.1	+	244561	245030	470	NC_092131.1	+	236161	236616	456	68.0%
CM049493.1	+	270530	273061	2532	NC_092131.1	+	232394	234867	2474	84.2%
CM049493.1	+	291343	293001	1659	NC_092131.1	+	231866	233198	1333	75.7%
CM049493.1	+	353841	356292	2452	NC_092131.1	+	1295195	1297802	2608	63.5%
CM049493.1	+	429076	433701	4626	NC_092131.1	+	231929	236162	4234	83.3%
CM049493.1	+	432488	433400	913	NC_092131.1	+	300966	302181	1216	82.5%
CM049493.1	+	455934	460043	4110	NC_092131.1	+	232387	236162	3776	84.7%
CM049493.1	+	478350	480958	2609	NC_092131.1	+	1237978	1240350	2373	86.8%
CM049493.1	+	478350	480733	2384	NC_092131.1	+	51656	54062	2407	88.8%
CM049493.1	+	478350	480958	2609	NC_092131.1	+	1085436	1088044	2609	98.7%
CM049493.1	+	604014	604122	109	NC_092131.1	+	548933	549032	100	87.0%
CM049493.1	+	615709	616474	766	NC_092131.1	+	330973	331731	759	84.9%
CM049493.1	+	676635	676734	100	NC_092131.1	+	548933	549032	100	87.0%
CM049493.1	+	685220	685984	765	NC_092131.1	+	330973	331731	759	85.1%
CM049493.1	+	700036	700143	108	NC_092131.1	+	165873	165983	111	75.9%
CM049493.1	+	719641	719689	49	NC_092131.1	+	385903	385951	49	89.8%
CM049493.1	+	765814	766047	234	NC_092131.1	+	504018	504251	234	65.8%
CM049493.1	+	765814	766053	240	NC_092131.1	+	389764	390003	240	68.3%
CM049493.1	+	765814	766053	240	NC_092131.1	+	834176	834415	240	69.2%
CM049493.1	+	765862	766950	1089	NC_092131.1	+	682604	683693	1090	63.9%
CM049493.1	+	806800	807564	765	NC_092131.1	+	330973	331731	759	85.5%
CM049493.1	+	830414	830567	154	NC_092131.1	+	548933	549032	100	87.0%
CM049493.1	+	845256	845355	100	NC_092131.1	+	548933	549032	100	87.0%
CM049493.1	+	1	103348	103348	NC_092131.1	-	1549372	1653286	103915	97.0%
CM049493.1	+	3953	6784	2832	NC_092131.1	-	1646145	1649117	2973	77.7%
CM049493.1	+	3953	7153	3201	NC_092131.1	-	1646163	1649222	3060	76.5%
CM049493.1	+	3974	6860	2887	NC_092131.1	-	1646236	1649176	2941	76.3%
CM049493.1	+	3974	6332	2359	NC_092131.1	-	1647123	1649306	2184	75.8%
CM049493.1	+	3974	7239	3266	NC_092131.1	-	1646128	1649266	3139	76.8%
CM049493.1	+	3975	7240	3266	NC_092131.1	-	1646230	1649285	3056	84.6%
CM049493.1	+	3976	7099	3124	NC_092131.1	-	1646237	1649209	2973	74.4%
CM049493.1	+	3976	7135	3160	NC_092131.1	-	1646236	1649219	2984	76.6%
CM049493.1	+	3976	7258	3283	NC_092131.1	-	1646157	1649269	3113	78.0%
CM049493.1	+	3977	5780	1804	NC_092131.1	-	1646078	1647839	1762	74.1%
CM049493.1	+	4114	7244	3131	NC_092131.1	-	1646256	1649316	3061	79.0%
CM049493.1	+	4226	7333	3108	NC_092131.1	-	1646232	1649334	3103	76.1%
CM049493.1	+	4236	7260	3025	NC_092131.1	-	1646250	1649314	3065	77.4%
CM049493.1	+	4262	7237	2976	NC_092131.1	-	1646342	1649337	2996	76.5%
CM049493.1	+	4282	7254	2973	NC_092131.1	-	1646355	1649337	2983	76.0%
CM049493.1	+	4317	7253	2937	NC_092131.1	-	1646391	1649337	2947	75.2%
CM049493.1	+	4335	7327	2993	NC_092131.1	-	1646337	1649334	2998	75.1%
CM049493.1	+	4347	7334	2988	NC_092131.1	-	1646405	1649379	2975	75.3%
CM049493.1	+	4424	7254	2831	NC_092131.1	-	1646490	1649315	2826	76.5%
CM049493.1	+	4440	7258	2819	NC_092131.1	-	1646536	1649314	2779	75.9%
CM049493.1	+	4544	7362	2819	NC_092131.1	-	1646595	1649377	2783	75.8%
CM049493.1	+	4628	7253	2626	NC_092131.1	-	1646737	1649331	2595	76.5%
CM049493.1	+	5692	7334	1643	NC_092131.1	-	1647674	1649337	1664	73.4%
CM049493.1	+	10450	11098	649	NC_092131.1	-	1642396	1643040	645	96.7%
CM049493.1	+	10594	11129	536	NC_092131.1	-	1641633	1642100	468	63.6%
CM049493.1	+	10635	11003	369	NC_092131.1	-	1640684	1641009	326	65.0%
CM049493.1	+	10836	11592	757	NC_092131.1	-	1642202	1643023	822	63.4%
CM049493.1	+	11035	11213	179	NC_092131.1	-	1640817	1641009	193	70.7%
CM049493.1	+	24112	24656	545	NC_092131.1	-	1628128	1628629	502	73.7%
CM049493.1	+	24112	24656	545	NC_092131.1	-	1628274	1628871	598	76.5%
CM049493.1	+	24114	24656	543	NC_092131.1	-	1628333	1628929	597	72.0%
CM049493.1	+	24144	24911	768	NC_092131.1	-	1628179	1628959	781	71.5%
CM049493.1	+	24270	24656	387	NC_092131.1	-	1628186	1628644	459	85.4%
CM049493.1	+	24430	24657	228	NC_092131.1	-	1628244	1628473	230	86.2%
CM049493.1	+	24452	24698	247	NC_092131.1	-	1628291	1628595	305	85.3%
CM049493.1	+	31799	33683	1885	NC_092131.1	-	1538924	1540773	1850	80.6%
CM049493.1	+	31799	35450	3652	NC_092131.1	-	1577864	1581467	3604	84.2%
CM049493.1	+	31799	35417	3619	NC_092131.1	-	1567397	1570958	3562	84.8%
CM049493.1	+	31799	45576	13778	NC_092131.1	-	1577654	1591742	14089	87.4%
CM049493.1	+	31799	45313	13515	NC_092131.1	-	1588158	1601686	13529	87.8%
CM049493.1	+	31799	45313	13515	NC_092131.1	-	1598275	1610831	12557	86.2%
CM049493.1	+	31799	43548	11750	NC_092131.1	-	1538924	1551295	12372	87.5%
CM049493.1	+	31799	45313	13515	NC_092131.1	-	1547657	1561386	13730	88.0%
CM049493.1	+	32571	32902	332	NC_092131.1	-	1619864	1620305	442	97.9%
CM049493.1	+	32677	32754	78	NC_092131.1	-	1619642	1619724	83	82.1%
CM049493.1	+	32677	32791	115	NC_092131.1	-	1619642	1619761	120	87.8%
CM049493.1	+	32677	32828	152	NC_092131.1	-	1619642	1619798	157	90.8%
CM049493.1	+	32677	32865	189	NC_092131.1	-	1619642	1619835	194	92.1%
CM049493.1	+	32677	32902	226	NC_092131.1	-	1619753	1619983	231	91.6%
CM049493.1	+	32677	32902	226	NC_092131.1	-	1619790	1620020	231	92.0%
CM049493.1	+	32677	32902	226	NC_092131.1	-	1619827	1620057	231	92.9%
CM049493.1	+	32677	32902	226	NC_092131.1	-	1619716	1619946	231	92.5%
CM049493.1	+	32680	32902	223	NC_092131.1	-	1619679	1619906	228	93.3%
CM049493.1	+	32692	32902	211	NC_092131.1	-	1619975	1620185	211	89.6%
CM049493.1	+	32709	32902	194	NC_092131.1	-	1620012	1620199	188	91.5%
CM049493.1	+	32709	32902	194	NC_092131.1	-	1619938	1620131	194	94.8%
CM049493.1	+	32709	32902	194	NC_092131.1	-	1619901	1620094	194	95.9%
CM049493.1	+	32746	32902	157	NC_092131.1	-	1620049	1620199	151	90.1%
CM049493.1	+	32783	32902	120	NC_092131.1	-	1620086	1620199	114	86.8%
CM049493.1	+	34684	35416	733	NC_092131.1	-	1607220	1607944	725	83.8%
CM049493.1	+	35759	36139	381	NC_092131.1	-	1577670	1578025	356	81.3%
CM049493.1	+	35898	45313	9416	NC_092131.1	-	1557745	1567399	9655	88.9%
CM049493.1	+	36088	72700	36613	NC_092131.1	-	1538936	1576763	37828	89.1%
CM049493.1	+	38584	38683	100	NC_092131.1	-	1584865	1584976	112	78.4%
CM049493.1	+	38584	38683	100	NC_092131.1	-	1604421	1604532	112	79.4%
CM049493.1	+	38603	38712	110	NC_092131.1	-	1543909	1544013	105	77.1%
CM049493.1	+	38603	38799	197	NC_092131.1	-	1604246	1604435	190	69.5%
CM049493.1	+	38603	38799	197	NC_092131.1	-	1584690	1584879	190	70.7%
CM049493.1	+	38603	38712	110	NC_092131.1	-	1554305	1554409	105	81.0%
CM049493.1	+	38605	38788	184	NC_092131.1	-	1613737	1613911	175	73.8%
CM049493.1	+	38610	38799	190	NC_092131.1	-	1573948	1574143	196	73.2%
CM049493.1	+	38623	38778	156	NC_092131.1	-	1543951	1544128	178	73.7%
CM049493.1	+	38626	38741	116	NC_092131.1	-	1554435	1554569	135	82.3%
CM049493.1	+	38650	38741	92	NC_092131.1	-	1554451	1554546	96	82.0%
CM049493.1	+	38658	38923	266	NC_092131.1	-	1594707	1594940	234	68.4%
CM049493.1	+	38658	38827	170	NC_092131.1	-	1573944	1574118	175	71.9%
CM049493.1	+	38667	38739	73	NC_092131.1	-	1554421	1554490	70	85.7%
CM049493.1	+	38668	38778	111	NC_092131.1	-	1554347	1554473	127	76.6%
CM049493.1	+	41300	41689	390	NC_092131.1	-	1581721	1582115	395	67.4%
CM049493.1	+	41707	42678	972	NC_092131.1	-	1620134	1621077	944	78.4%
CM049493.1	+	42614	45313	2700	NC_092131.1	-	1617126	1619722	2597	85.3%
CM049493.1	+	45312	50946	5635	NC_092131.1	-	1592107	1597796	5690	88.2%
CM049493.1	+	45312	62609	17298	NC_092131.1	-	1538919	1557269	18351	89.1%
CM049493.1	+	45312	52558	7247	NC_092131.1	-	1538855	1547158	8304	86.7%
CM049493.1	+	45312	54291	8980	NC_092131.1	-	1607170	1616643	9474	88.8%
CM049493.1	+	45312	51197	5886	NC_092131.1	-	1581836	1587679	5844	91.1%
CM049493.1	+	45500	54291	8792	NC_092131.1	-	1567349	1576764	9416	88.3%
CM049493.1	+	47923	48140	218	NC_092131.1	-	1574045	1574268	224	77.8%
CM049493.1	+	47985	48179	195	NC_092131.1	-	1594841	1595037	197	74.1%
CM049493.1	+	47994	48195	202	NC_092131.1	-	1554295	1554535	241	84.2%
CM049493.1	+	48028	48196	169	NC_092131.1	-	1564455	1564679	225	77.5%
CM049493.1	+	48039	48189	151	NC_092131.1	-	1554312	1554501	190	71.5%
CM049493.1	+	48057	48196	140	NC_092131.1	-	1584825	1584964	140	77.0%
CM049493.1	+	48057	48196	140	NC_092131.1	-	1604381	1604520	140	77.7%
CM049493.1	+	48094	48338	245	NC_092131.1	-	1613687	1613935	249	72.0%
CM049493.1	+	48096	48213	118	NC_092131.1	-	1554451	1554568	118	76.5%
CM049493.1	+	50799	54259	3461	NC_092131.1	-	1577897	1581512	3616	87.5%
CM049493.1	+	50799	64717	13919	NC_092131.1	-	1577635	1591787	14153	88.5%
CM049493.1	+	50803	51345	543	NC_092131.1	-	1540267	1540814	548	85.4%
CM049493.1	+	50844	51658	815	NC_092131.1	-	1620270	1621077	808	78.4%
CM049493.1	+	51662	70053	18392	NC_092131.1	-	1601601	1619596	17996	89.3%
CM049493.1	+	53655	54092	438	NC_092131.1	-	1538247	1538706	460	75.5%
CM049493.1	+	54695	55016	322	NC_092131.1	-	1577635	1577944	310	82.7%
CM049493.1	+	54695	74440	19746	NC_092131.1	-	1547656	1567442	19787	88.5%
CM049493.1	+	54732	74440	19709	NC_092131.1	-	1588157	1607221	19065	88.1%
CM049493.1	+	54972	74440	19469	NC_092131.1	-	1557744	1576707	18964	88.9%
CM049493.1	+	57465	57811	347	NC_092131.1	-	1543733	1544096	364	70.2%
CM049493.1	+	57529	57672	144	NC_092131.1	-	1543986	1544141	156	82.7%
CM049493.1	+	57541	57672	132	NC_092131.1	-	1554382	1554528	147	80.3%
CM049493.1	+	57588	57732	145	NC_092131.1	-	1613737	1613878	142	71.2%
CM049493.1	+	59881	59950	70	NC_092131.1	-	1571685	1571751	67	95.5%
CM049493.1	+	60279	60401	123	NC_092131.1	-	1601667	1601806	140	82.9%
CM049493.1	+	60378	60659	282	NC_092131.1	-	1540888	1541196	309	63.5%
CM049493.1	+	61650	74692	13043	NC_092131.1	-	1606957	1619721	12765	86.1%
CM049493.1	+	63599	63902	304	NC_092131.1	-	1598698	1599006	309	73.2%
CM049493.1	+	64624	74676	10053	NC_092131.1	-	1567160	1576763	9604	86.0%
CM049493.1	+	67060	67278	219	NC_092131.1	-	1574032	1574290	259	72.5%
CM049493.1	+	67124	67326	203	NC_092131.1	-	1554289	1554486	198	70.2%
CM049493.1	+	67135	67336	202	NC_092131.1	-	1554295	1554535	241	84.2%
CM049493.1	+	67135	67278	144	NC_092131.1	-	1554289	1554438	150	76.6%
CM049493.1	+	67138	67233	96	NC_092131.1	-	1613855	1613954	100	76.8%
CM049493.1	+	67145	67440	296	NC_092131.1	-	1594765	1595089	325	71.0%
CM049493.1	+	67150	67281	132	NC_092131.1	-	1584785	1584916	132	79.4%
CM049493.1	+	67150	67289	140	NC_092131.1	-	1604333	1604472	140	77.7%
CM049493.1	+	67151	67309	159	NC_092131.1	-	1543910	1544064	155	72.3%
CM049493.1	+	67169	67337	169	NC_092131.1	-	1564455	1564679	225	77.5%
CM049493.1	+	67169	67342	174	NC_092131.1	-	1574058	1574285	228	81.0%
CM049493.1	+	67180	67330	151	NC_092131.1	-	1554312	1554501	190	71.5%
CM049493.1	+	69907	70400	494	NC_092131.1	-	1581474	1581945	472	69.8%
CM049493.1	+	69932	70809	878	NC_092131.1	-	1540432	1541192	761	69.4%
CM049493.1	+	69950	70548	599	NC_092131.1	-	1581474	1581985	512	77.4%
CM049493.1	+	69951	70339	389	NC_092131.1	-	1591750	1592136	387	69.1%
CM049493.1	+	69958	70577	620	NC_092131.1	-	1581474	1582064	591	78.8%
CM049493.1	+	69961	70518	558	NC_092131.1	-	1581474	1581963	490	77.8%
CM049493.1	+	69980	70693	714	NC_092131.1	-	1581474	1582095	622	77.0%
CM049493.1	+	69996	70428	433	NC_092131.1	-	1551303	1551733	431	68.7%
CM049493.1	+	70015	70458	444	NC_092131.1	-	1561394	1561803	410	68.9%
CM049493.1	+	70035	70617	583	NC_092131.1	-	1581579	1582180	602	74.3%
CM049493.1	+	70045	70506	462	NC_092131.1	-	1561364	1561810	447	66.4%
CM049493.1	+	70046	70733	688	NC_092131.1	-	1581522	1582196	675	74.3%
CM049493.1	+	70077	70517	441	NC_092131.1	-	1561394	1561808	415	68.8%
CM049493.1	+	70080	70736	657	NC_092131.1	-	1570653	1571347	695	62.2%
CM049493.1	+	70080	70762	683	NC_092131.1	-	1581522	1582184	663	73.2%
CM049493.1	+	70144	70574	431	NC_092131.1	-	1561396	1561828	433	64.0%
CM049493.1	+	70150	70340	191	NC_092131.1	-	1581474	1581677	204	73.7%
CM049493.1	+	70150	70897	748	NC_092131.1	-	1581533	1582296	764	70.6%
CM049493.1	+	70161	70995	835	NC_092131.1	-	1581398	1582195	798	74.7%
CM049493.1	+	70186	70528	343	NC_092131.1	-	1581640	1581979	340	73.3%
CM049493.1	+	70197	70949	753	NC_092131.1	-	1540716	1541338	623	68.5%
CM049493.1	+	70200	70692	493	NC_092131.1	-	1561394	1561853	460	69.6%
CM049493.1	+	70211	70429	219	NC_092131.1	-	1581474	1581685	212	79.0%
CM049493.1	+	70278	70605	328	NC_092131.1	-	1581474	1581802	329	86.8%
CM049493.1	+	70283	70459	177	NC_092131.1	-	1581474	1581648	175	86.8%
CM049493.1	+	70283	70563	281	NC_092131.1	-	1581448	1581708	261	81.9%
CM049493.1	+	70320	70399	80	NC_092131.1	-	1561394	1561472	79	88.6%
CM049493.1	+	70341	71245	905	NC_092131.1	-	1540440	1541282	843	77.1%
CM049493.1	+	70341	71278	938	NC_092131.1	-	1591359	1592222	864	81.3%
CM049493.1	+	70461	70871	411	NC_092131.1	-	1581500	1581862	363	83.0%
CM049493.1	+	70491	70897	407	NC_092131.1	-	1581680	1582049	370	68.4%
CM049493.1	+	70521	70897	377	NC_092131.1	-	1581620	1581995	376	76.7%
CM049493.1	+	70525	71985	1461	NC_092131.1	-	1609716	1611233	1518	82.6%
CM049493.1	+	70526	71630	1105	NC_092131.1	-	1550537	1551692	1156	83.6%
CM049493.1	+	70579	70842	264	NC_092131.1	-	1581500	1581767	268	86.7%
CM049493.1	+	70622	70722	101	NC_092131.1	-	1581474	1581574	101	89.0%
CM049493.1	+	70658	71404	747	NC_092131.1	-	1560870	1561622	753	86.6%
CM049493.1	+	70673	71630	958	NC_092131.1	-	1570201	1571167	967	86.3%
CM049493.1	+	70716	70897	182	NC_092131.1	-	1581591	1581773	183	83.3%
CM049493.1	+	70843	74440	3598	NC_092131.1	-	1617125	1621134	4010	81.8%
CM049493.1	+	70859	74440	3582	NC_092131.1	-	1598274	1601731	3458	87.2%
CM049493.1	+	74395	74676	282	NC_092131.1	-	1616402	1616680	279	86.2%
CM049493.1	+	74395	74711	317	NC_092131.1	-	1546874	1547195	322	83.1%
CM049493.1	+	74438	74676	239	NC_092131.1	-	1597555	1597796	242	88.7%
CM049493.1	+	74438	74711	274	NC_092131.1	-	1556985	1557269	285	87.5%
CM049493.1	+	74438	74676	239	NC_092131.1	-	1587437	1587679	243	89.1%
CM049493.1	+	75581	84940	9360	NC_092131.1	-	1557752	1567212	9461	89.3%
CM049493.1	+	75581	84948	9368	NC_092131.1	-	1598274	1607033	8760	88.3%
CM049493.1	+	75582	85184	9603	NC_092131.1	-	1577670	1587488	9819	88.0%
CM049493.1	+	75582	84940	9359	NC_092131.1	-	1547664	1557078	9415	88.7%
CM049493.1	+	75582	83200	7619	NC_092131.1	-	1538924	1546967	8044	88.0%
CM049493.1	+	75582	103284	27703	NC_092131.1	-	1589879	1616453	26575	89.0%
CM049493.1	+	75582	84948	9367	NC_092131.1	-	1588157	1597606	9450	90.6%
CM049493.1	+	78018	78315	298	NC_092131.1	-	1584788	1585110	323	67.5%
CM049493.1	+	78034	78292	259	NC_092131.1	-	1564406	1564684	279	81.1%
CM049493.1	+	78060	78282	223	NC_092131.1	-	1554290	1554524	235	76.5%
CM049493.1	+	78061	78235	175	NC_092131.1	-	1584773	1584945	173	76.9%
CM049493.1	+	78061	78244	184	NC_092131.1	-	1604317	1604501	185	76.9%
CM049493.1	+	78063	78404	342	NC_092131.1	-	1573932	1574251	320	73.4%
CM049493.1	+	78063	78219	157	NC_092131.1	-	1594854	1595026	173	76.9%
CM049493.1	+	78069	78315	247	NC_092131.1	-	1554382	1554607	226	82.2%
CM049493.1	+	78072	78299	228	NC_092131.1	-	1554289	1554518	230	64.4%
CM049493.1	+	78077	78447	371	NC_092131.1	-	1554175	1554541	367	71.4%
CM049493.1	+	78078	78315	238	NC_092131.1	-	1604344	1604606	263	75.4%
CM049493.1	+	78079	78331	253	NC_092131.1	-	1554401	1554627	227	74.3%
CM049493.1	+	78094	78415	322	NC_092131.1	-	1594765	1595059	295	74.5%
CM049493.1	+	78095	78415	321	NC_092131.1	-	1573943	1574283	341	72.2%
CM049493.1	+	78101	78299	199	NC_092131.1	-	1543909	1544087	179	81.0%
CM049493.1	+	78103	78171	69	NC_092131.1	-	1613810	1613878	69	79.7%
CM049493.1	+	78103	78274	172	NC_092131.1	-	1584771	1584935	165	77.0%
CM049493.1	+	78103	78274	172	NC_092131.1	-	1604327	1604491	165	77.6%
CM049493.1	+	78121	78292	172	NC_092131.1	-	1594893	1595064	172	72.5%
CM049493.1	+	78140	78328	189	NC_092131.1	-	1554359	1554541	183	79.6%
CM049493.1	+	78162	78328	167	NC_092131.1	-	1543963	1544129	167	76.3%
CM049493.1	+	78172	78315	144	NC_092131.1	-	1594902	1595061	160	70.1%
CM049493.1	+	78172	78314	143	NC_092131.1	-	1574144	1574286	143	71.1%
CM049493.1	+	78176	78328	153	NC_092131.1	-	1564527	1564691	165	78.4%
CM049493.1	+	78204	78315	112	NC_092131.1	-	1543986	1544113	128	90.2%
CM049493.1	+	78207	78331	125	NC_092131.1	-	1544005	1544132	128	74.4%
CM049493.1	+	78214	78282	69	NC_092131.1	-	1613811	1613879	69	79.7%
CM049493.1	+	78231	78373	143	NC_092131.1	-	1613739	1613878	140	74.5%
CM049493.1	+	81066	81424	359	NC_092131.1	-	1561365	1561801	437	68.1%
CM049493.1	+	81396	82355	960	NC_092131.1	-	1620134	1621077	944	81.1%
CM049493.1	+	82285	84948	2664	NC_092131.1	-	1617125	1619728	2604	86.3%
CM049493.1	+	84946	94554	9609	NC_092131.1	-	1577897	1587679	9783	88.2%
CM049493.1	+	84946	103267	18322	NC_092131.1	-	1579670	1597796	18127	88.9%
CM049493.1	+	84946	92832	7887	NC_092131.1	-	1538855	1547158	8304	88.6%
CM049493.1	+	84946	94551	9606	NC_092131.1	-	1607220	1616643	9424	91.0%
CM049493.1	+	84946	242473	157528	NC_092131.1	-	1399804	1557269	157466	97.7%
CM049493.1	+	85132	94552	9421	NC_092131.1	-	1567397	1576764	9368	88.7%
CM049493.1	+	87639	87905	267	NC_092131.1	-	1554289	1554546	258	72.4%
CM049493.1	+	87662	87920	259	NC_092131.1	-	1574081	1574312	232	80.5%
CM049493.1	+	90517	90887	371	NC_092131.1	-	1581721	1582065	345	65.8%
CM049493.1	+	91812	103279	11468	NC_092131.1	-	1608988	1619722	10735	88.1%
CM049493.1	+	94951	95312	362	NC_092131.1	-	1577635	1577998	364	80.6%
CM049493.1	+	94991	103348	8358	NC_092131.1	-	1559469	1567442	7974	89.1%
CM049493.1	+	95028	103348	8321	NC_092131.1	-	1599972	1607221	7250	86.9%
CM049493.1	+	95218	103284	8067	NC_092131.1	-	1569136	1576764	7629	88.1%
CM049493.1	+	96708	96902	195	NC_092131.1	-	1565567	1565732	166	78.7%
CM049493.1	+	97082	98552	1471	NC_092131.1	-	1554032	1555535	1504	66.5%
CM049493.1	+	97942	98180	239	NC_092131.1	-	1543904	1544162	259	67.0%
CM049493.1	+	97945	98190	246	NC_092131.1	-	1604310	1604565	256	69.4%
CM049493.1	+	98019	98421	403	NC_092131.1	-	1554113	1554554	442	72.2%
CM049493.1	+	98019	98241	223	NC_092131.1	-	1613760	1613947	188	73.2%
CM049493.1	+	98039	98187	149	NC_092131.1	-	1574016	1574165	150	69.2%
CM049493.1	+	98048	98206	159	NC_092131.1	-	1594854	1594989	136	81.6%
CM049493.1	+	98051	98190	140	NC_092131.1	-	1564399	1564568	170	78.3%
CM049493.1	+	98073	98421	349	NC_092131.1	-	1543733	1544101	369	71.5%
CM049493.1	+	98079	98250	172	NC_092131.1	-	1594855	1595013	159	79.5%
CM049493.1	+	98079	98206	128	NC_092131.1	-	1554289	1554397	109	85.3%
CM049493.1	+	98079	98278	200	NC_092131.1	-	1574018	1574238	221	77.9%
CM049493.1	+	98079	98206	128	NC_092131.1	-	1574032	1574142	111	86.5%
CM049493.1	+	98089	98167	79	NC_092131.1	-	1564407	1564488	82	84.8%
CM049493.1	+	98096	98282	187	NC_092131.1	-	1574065	1574286	222	78.0%
CM049493.1	+	98112	98283	172	NC_092131.1	-	1554429	1554599	171	74.2%
CM049493.1	+	98128	98605	478	NC_092131.1	-	1543609	1544113	505	72.1%
CM049493.1	+	98128	98275	148	NC_092131.1	-	1554421	1554541	121	82.4%
