#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CBCUDI010000027.1	+	1	1499974	1499974	CBCUDI010000027.1	+	1	1499974	1499974	100.0%
CBCUDI010000027.1	+	35850	62742	26893	CBCUDI010000027.1	+	85608	113202	27595	88.9%
CBCUDI010000027.1	+	45158	64388	19231	CBCUDI010000027.1	+	54724	75051	20328	88.7%
CBCUDI010000027.1	+	54724	75051	20328	CBCUDI010000027.1	+	45158	64388	19231	88.7%
CBCUDI010000027.1	+	76268	103100	26833	CBCUDI010000027.1	+	85828	113266	27439	91.6%
CBCUDI010000027.1	+	85608	113202	27595	CBCUDI010000027.1	+	35850	62742	26893	88.9%
CBCUDI010000027.1	+	85828	113266	27439	CBCUDI010000027.1	+	76268	103100	26833	91.6%
CBCUDI010000027.1	+	657543	683248	25706	CBCUDI010000027.1	+	778007	803477	25471	97.0%
CBCUDI010000027.1	+	778007	803477	25471	CBCUDI010000027.1	+	657543	683248	25706	97.0%
CBCUDI010000027.1	+	1059751	1108927	49177	CBCUDI010000027.1	+	1248813	1298120	49308	98.2%
CBCUDI010000027.1	+	1248813	1298120	49308	CBCUDI010000027.1	+	1059751	1108927	49177	98.2%
