#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CM091517.1	+	9988	10307	320	CBCUDI010000027.1	+	1257904	1258225	322	61.8%
CM091517.1	+	9988	10307	320	CBCUDI010000027.1	+	1068793	1069114	322	62.6%
CM091517.1	+	28120	28607	488	CBCUDI010000027.1	+	1257802	1258288	487	86.7%
CM091517.1	+	28120	28607	488	CBCUDI010000027.1	+	1068691	1069177	487	87.3%
CM091517.1	+	51148	51492	345	CBCUDI010000027.1	+	1257887	1258231	345	62.9%
CM091517.1	+	51152	51492	341	CBCUDI010000027.1	+	1068780	1069120	341	65.9%
CM091517.1	+	99479	100481	1003	CBCUDI010000027.1	+	1425861	1426863	1003	74.2%
CM091517.1	+	123946	135030	11085	CBCUDI010000027.1	+	207807	219266	11460	93.5%
CM091517.1	+	165091	165917	827	CBCUDI010000027.1	+	1365510	1366343	834	71.1%
CM091517.1	+	167003	167133	131	CBCUDI010000027.1	+	753963	754092	130	80.0%
CM091517.1	+	167710	168225	516	CBCUDI010000027.1	+	1257802	1258317	516	72.4%
CM091517.1	+	167710	168225	516	CBCUDI010000027.1	+	1068691	1069206	516	73.5%
CM091517.1	+	174466	174806	341	CBCUDI010000027.1	+	1257885	1258222	338	62.7%
CM091517.1	+	174487	174806	320	CBCUDI010000027.1	+	1068792	1069111	320	62.8%
CM091517.1	+	220304	220384	81	CBCUDI010000027.1	+	643723	643803	81	95.1%
CM091517.1	+	231598	235835	4238	CBCUDI010000027.1	+	439385	444025	4641	83.7%
CM091517.1	+	232056	233421	1366	CBCUDI010000027.1	+	1240512	1241917	1406	78.8%
CM091517.1	+	232056	234526	2471	CBCUDI010000027.1	+	910141	912655	2515	82.2%
CM091517.1	+	232056	235835	3780	CBCUDI010000027.1	+	466250	470657	4408	84.6%
CM091517.1	+	232063	234540	2478	CBCUDI010000027.1	+	281247	283779	2533	84.7%
CM091517.1	+	238433	238961	529	CBCUDI010000027.1	+	1257802	1258329	528	70.0%
CM091517.1	+	238433	238961	529	CBCUDI010000027.1	+	1068691	1069218	528	71.0%
CM091517.1	+	266252	266745	494	CBCUDI010000027.1	+	1257804	1258296	493	73.2%
CM091517.1	+	266252	266745	494	CBCUDI010000027.1	+	1068693	1069185	493	74.2%
CM091517.1	+	274765	275278	514	CBCUDI010000027.1	+	1257804	1258317	514	71.0%
CM091517.1	+	274765	275278	514	CBCUDI010000027.1	+	1068693	1069206	514	72.0%
CM091517.1	+	277981	278843	863	CBCUDI010000027.1	+	954739	955604	866	87.0%
CM091517.1	+	278320	278843	524	CBCUDI010000027.1	+	1197728	1198256	529	75.9%
CM091517.1	+	278332	278843	512	CBCUDI010000027.1	+	1363255	1363769	515	72.7%
CM091517.1	+	278332	278857	526	CBCUDI010000027.1	+	1156294	1156825	532	71.3%
CM091517.1	+	278354	278843	490	CBCUDI010000027.1	+	1136876	1137371	496	74.6%
CM091517.1	+	278355	278841	487	CBCUDI010000027.1	+	1077234	1077725	492	73.5%
CM091517.1	+	278355	278841	487	CBCUDI010000027.1	+	1266033	1266524	492	73.7%
CM091517.1	+	278355	278843	489	CBCUDI010000027.1	+	691711	692206	496	73.1%
CM091517.1	+	278355	278843	489	CBCUDI010000027.1	+	686978	687470	493	74.0%
CM091517.1	+	278356	278843	488	CBCUDI010000027.1	+	938139	938631	493	73.1%
CM091517.1	+	278357	278843	487	CBCUDI010000027.1	+	1304227	1304719	493	72.1%
CM091517.1	+	278361	278608	248	CBCUDI010000027.1	+	841905	842150	246	85.8%
CM091517.1	+	278361	278525	165	CBCUDI010000027.1	+	753810	753974	165	86.7%
