#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
NC_065584.1	+	1	1586547	1586547	NC_065584.1	+	1	1586547	1586547	100.0%
NC_065584.1	+	3	8030	8028	NC_065584.1	+	1169295	1177560	8266	82.3%
NC_065584.1	+	10	1078	1069	NC_065584.1	+	55454	56499	1046	84.1%
NC_065584.1	+	298	8159	7862	NC_065584.1	+	976814	984191	7378	82.1%
NC_065584.1	+	311	8073	7763	NC_065584.1	+	1139616	1146378	6763	82.9%
NC_065584.1	+	1002	2907	1906	NC_065584.1	+	66421	68314	1894	87.4%
NC_065584.1	+	5624	8190	2567	NC_065584.1	+	68627	71210	2584	77.1%
NC_065584.1	+	7280	8190	911	NC_065584.1	+	153844	154884	1041	73.3%
NC_065584.1	+	7280	8175	896	NC_065584.1	+	1145575	1146401	827	81.2%
NC_065584.1	+	7280	8159	880	NC_065584.1	+	982867	983785	919	83.3%
NC_065584.1	+	7283	8159	877	NC_065584.1	+	1176685	1177530	846	82.8%
NC_065584.1	+	7283	8159	877	NC_065584.1	+	1015319	1016289	971	81.3%
NC_065584.1	+	7284	8190	907	NC_065584.1	+	69931	70935	1005	82.7%
NC_065584.1	+	7757	8190	434	NC_065584.1	+	983467	983955	489	78.3%
NC_065584.1	+	7758	8159	402	NC_065584.1	+	284501	284980	480	79.9%
NC_065584.1	+	7758	8159	402	NC_065584.1	+	283765	284128	364	79.0%
NC_065584.1	+	7758	8159	402	NC_065584.1	+	1333145	1333642	498	78.7%
NC_065584.1	+	7788	8168	381	NC_065584.1	+	1145967	1146373	407	74.7%
NC_065584.1	+	7859	8158	300	NC_065584.1	+	1333146	1333436	291	77.6%
NC_065584.1	+	8168	9102	935	NC_065584.1	+	880224	881158	935	82.1%
NC_065584.1	+	8168	9554	1387	NC_065584.1	+	651657	653345	1689	83.3%
NC_065584.1	+	8168	9188	1021	NC_065584.1	+	1178257	1179171	915	75.2%
NC_065584.1	+	8168	9554	1387	NC_065584.1	+	621077	622770	1694	83.7%
NC_065584.1	+	8168	9554	1387	NC_065584.1	+	985427	987102	1676	85.3%
NC_065584.1	+	8168	9049	882	NC_065584.1	+	750854	751603	750	74.3%
NC_065584.1	+	8168	12648	4481	NC_065584.1	+	1017093	1021638	4546	85.7%
NC_065584.1	+	8168	12383	4216	NC_065584.1	+	73026	77304	4279	85.4%
