#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CBCUDI010000027.1	+	1	1499974	1499974	CBCUDI010000027.1	+	1	1499974	1499974	100.0%
CBCUDI010000027.1	+	4520	6504	1985	CBCUDI010000027.1	+	5390	7256	1867	74.5%
CBCUDI010000027.1	+	4520	6842	2323	CBCUDI010000027.1	+	4814	7351	2538	77.9%
CBCUDI010000027.1	+	4542	7240	2699	CBCUDI010000027.1	+	4572	7250	2679	76.8%
CBCUDI010000027.1	+	4543	6726	2184	CBCUDI010000027.1	+	4982	7260	2279	76.4%
CBCUDI010000027.1	+	4543	7246	2704	CBCUDI010000027.1	+	4588	7266	2679	74.0%
CBCUDI010000027.1	+	4543	6998	2456	CBCUDI010000027.1	+	4773	7340	2568	76.7%
CBCUDI010000027.1	+	4543	6078	1536	CBCUDI010000027.1	+	5633	7264	1632	76.4%
CBCUDI010000027.1	+	4544	6696	2153	CBCUDI010000027.1	+	5033	7260	2228	75.1%
CBCUDI010000027.1	+	4572	7250	2679	CBCUDI010000027.1	+	4542	7240	2699	77.1%
CBCUDI010000027.1	+	4754	7260	2507	CBCUDI010000027.1	+	4544	7148	2605	76.8%
CBCUDI010000027.1	+	4773	7340	2568	CBCUDI010000027.1	+	4543	6998	2456	77.4%
CBCUDI010000027.1	+	4982	7351	2370	CBCUDI010000027.1	+	4543	6842	2300	77.2%
CBCUDI010000027.1	+	5000	7366	2367	CBCUDI010000027.1	+	4526	6755	2230	70.9%
CBCUDI010000027.1	+	5011	7260	2250	CBCUDI010000027.1	+	4542	6726	2185	75.1%
CBCUDI010000027.1	+	5033	7366	2334	CBCUDI010000027.1	+	4544	6734	2191	75.5%
CBCUDI010000027.1	+	5253	7264	2012	CBCUDI010000027.1	+	4543	6611	2069	75.9%
CBCUDI010000027.1	+	5263	7239	1977	CBCUDI010000027.1	+	4543	6547	2005	74.1%
CBCUDI010000027.1	+	5314	7249	1936	CBCUDI010000027.1	+	4544	6547	2004	75.1%
CBCUDI010000027.1	+	5334	7260	1927	CBCUDI010000027.1	+	4549	6528	1980	74.7%
CBCUDI010000027.1	+	5339	7260	1922	CBCUDI010000027.1	+	4544	6423	1880	74.6%
CBCUDI010000027.1	+	5390	7260	1871	CBCUDI010000027.1	+	4520	6378	1859	75.4%
CBCUDI010000027.1	+	5488	7339	1852	CBCUDI010000027.1	+	4543	6263	1721	76.8%
CBCUDI010000027.1	+	5569	7340	1772	CBCUDI010000027.1	+	4544	6174	1631	76.1%
CBCUDI010000027.1	+	5633	7264	1632	CBCUDI010000027.1	+	4543	6078	1536	76.9%
CBCUDI010000027.1	+	6005	7340	1336	CBCUDI010000027.1	+	4526	6024	1499	76.1%
CBCUDI010000027.1	+	6428	7340	913	CBCUDI010000027.1	+	4520	5465	946	73.1%
CBCUDI010000027.1	+	10533	10691	159	CBCUDI010000027.1	+	10911	11091	181	71.2%
CBCUDI010000027.1	+	12077	12171	95	CBCUDI010000027.1	+	11028	11117	90	78.9%
CBCUDI010000027.1	+	24100	24583	484	CBCUDI010000027.1	+	24130	24699	570	73.1%
CBCUDI010000027.1	+	24130	24699	570	CBCUDI010000027.1	+	24100	24583	484	73.1%
CBCUDI010000027.1	+	31823	33669	1847	CBCUDI010000027.1	+	111243	113197	1955	81.3%
CBCUDI010000027.1	+	31823	35402	3580	CBCUDI010000027.1	+	71611	75127	3517	83.7%
CBCUDI010000027.1	+	31823	35402	3580	CBCUDI010000027.1	+	41567	45160	3594	83.1%
CBCUDI010000027.1	+	31823	35402	3580	CBCUDI010000027.1	+	91622	95164	3543	84.2%
CBCUDI010000027.1	+	31823	35402	3580	CBCUDI010000027.1	+	82111	85653	3543	84.3%
CBCUDI010000027.1	+	31823	45397	13575	CBCUDI010000027.1	+	60918	75363	14446	86.1%
CBCUDI010000027.1	+	31823	43389	11567	CBCUDI010000027.1	+	101189	113197	12009	87.6%
CBCUDI010000027.1	+	31824	45082	13259	CBCUDI010000027.1	+	50708	64386	13679	87.8%
CBCUDI010000027.1	+	32702	32841	140	CBCUDI010000027.1	+	32733	32878	146	87.9%
CBCUDI010000027.1	+	32733	32878	146	CBCUDI010000027.1	+	32702	32841	140	87.9%
CBCUDI010000027.1	+	34809	35240	432	CBCUDI010000027.1	+	113425	113880	456	74.8%
CBCUDI010000027.1	+	35850	62742	26893	CBCUDI010000027.1	+	85608	113202	27595	88.9%
CBCUDI010000027.1	+	35887	36152	266	CBCUDI010000027.1	+	75125	75379	255	87.4%
CBCUDI010000027.1	+	35887	45160	9274	CBCUDI010000027.1	+	95162	104801	9640	88.6%
CBCUDI010000027.1	+	35887	45208	9322	CBCUDI010000027.1	+	45158	54290	9133	88.8%
CBCUDI010000027.1	+	36077	54050	17974	CBCUDI010000027.1	+	76268	95104	18837	88.9%
CBCUDI010000027.1	+	41156	41560	405	CBCUDI010000027.1	+	70843	71250	408	67.9%
CBCUDI010000027.1	+	41362	42317	956	CBCUDI010000027.1	+	71392	72340	949	83.2%
CBCUDI010000027.1	+	41567	45160	3594	CBCUDI010000027.1	+	31823	35402	3580	83.1%
CBCUDI010000027.1	+	45032	45208	177	CBCUDI010000027.1	+	64642	64798	157	75.8%
CBCUDI010000027.1	+	45158	64388	19231	CBCUDI010000027.1	+	54724	75051	20328	88.7%
CBCUDI010000027.1	+	45158	54290	9133	CBCUDI010000027.1	+	35887	45208	9322	88.8%
CBCUDI010000027.1	+	45158	52431	7274	CBCUDI010000027.1	+	105276	113266	7991	88.2%
CBCUDI010000027.1	+	45158	51057	5900	CBCUDI010000027.1	+	65242	71123	5882	91.7%
CBCUDI010000027.1	+	45345	54256	8912	CBCUDI010000027.1	+	76267	85653	9387	87.6%
CBCUDI010000027.1	+	47823	47981	159	CBCUDI010000027.1	+	78807	78969	163	81.0%
CBCUDI010000027.1	+	47824	48009	186	CBCUDI010000027.1	+	108020	108200	181	69.6%
CBCUDI010000027.1	+	47825	48026	202	CBCUDI010000027.1	+	88355	88614	260	76.9%
CBCUDI010000027.1	+	47848	47971	124	CBCUDI010000027.1	+	78868	78994	127	78.0%
CBCUDI010000027.1	+	47850	47989	140	CBCUDI010000027.1	+	68009	68148	140	76.3%
CBCUDI010000027.1	+	47850	47989	140	CBCUDI010000027.1	+	47898	48037	140	77.7%
CBCUDI010000027.1	+	47869	48040	172	CBCUDI010000027.1	+	97886	98090	205	75.0%
CBCUDI010000027.1	+	47880	48173	294	CBCUDI010000027.1	+	78756	79100	345	75.4%
CBCUDI010000027.1	+	47884	47933	50	CBCUDI010000027.1	+	38507	38558	52	86.0%
CBCUDI010000027.1	+	50352	50765	414	CBCUDI010000027.1	+	100456	100853	398	87.9%
CBCUDI010000027.1	+	50662	51000	339	CBCUDI010000027.1	+	60873	61209	337	88.7%
CBCUDI010000027.1	+	50662	54256	3595	CBCUDI010000027.1	+	71566	75127	3562	87.6%
CBCUDI010000027.1	+	50708	64386	13679	CBCUDI010000027.1	+	31824	45082	13259	87.8%
CBCUDI010000027.1	+	54001	54143	143	CBCUDI010000027.1	+	64450	64594	145	90.9%
CBCUDI010000027.1	+	54001	54132	132	CBCUDI010000027.1	+	54075	54186	112	91.9%
CBCUDI010000027.1	+	54001	54143	143	CBCUDI010000027.1	+	64413	64556	144	91.6%
CBCUDI010000027.1	+	54001	54144	144	CBCUDI010000027.1	+	54038	54181	144	90.2%
CBCUDI010000027.1	+	54001	54144	144	CBCUDI010000027.1	+	64376	64538	163	94.4%
CBCUDI010000027.1	+	54003	54132	130	CBCUDI010000027.1	+	64566	64694	129	92.1%
CBCUDI010000027.1	+	54003	54050	48	CBCUDI010000027.1	+	54134	54181	48	91.7%
CBCUDI010000027.1	+	54003	54087	85	CBCUDI010000027.1	+	64604	64689	86	91.8%
CBCUDI010000027.1	+	54003	54050	48	CBCUDI010000027.1	+	64642	64689	48	93.8%
CBCUDI010000027.1	+	54003	54153	151	CBCUDI010000027.1	+	64528	64680	153	92.7%
CBCUDI010000027.1	+	54003	54143	141	CBCUDI010000027.1	+	64490	64632	143	91.5%
CBCUDI010000027.1	+	54022	54172	151	CBCUDI010000027.1	+	54003	54153	151	79.2%
CBCUDI010000027.1	+	54022	54172	151	CBCUDI010000027.1	+	64341	64604	264	83.2%
CBCUDI010000027.1	+	54038	54172	135	CBCUDI010000027.1	+	64339	64490	152	94.0%
CBCUDI010000027.1	+	54038	54181	144	CBCUDI010000027.1	+	54001	54144	144	90.2%
CBCUDI010000027.1	+	54059	54181	123	CBCUDI010000027.1	+	64341	64462	122	81.0%
CBCUDI010000027.1	+	54075	54181	107	CBCUDI010000027.1	+	64339	64425	87	92.0%
CBCUDI010000027.1	+	54075	54181	107	CBCUDI010000027.1	+	54001	54087	87	93.1%
CBCUDI010000027.1	+	54134	54181	48	CBCUDI010000027.1	+	64341	64388	48	89.6%
CBCUDI010000027.1	+	54134	54181	48	CBCUDI010000027.1	+	54003	54050	48	91.7%
CBCUDI010000027.1	+	54687	64388	9702	CBCUDI010000027.1	+	85608	95104	9497	89.7%
CBCUDI010000027.1	+	54724	55010	287	CBCUDI010000027.1	+	75125	75400	276	87.2%
CBCUDI010000027.1	+	54724	75051	20328	CBCUDI010000027.1	+	45158	64388	19231	88.7%
CBCUDI010000027.1	+	54724	73425	18702	CBCUDI010000027.1	+	95162	113185	18024	88.9%
CBCUDI010000027.1	+	54915	64388	9474	CBCUDI010000027.1	+	76268	85593	9326	91.6%
CBCUDI010000027.1	+	57423	57904	482	CBCUDI010000027.1	+	67956	68284	329	73.6%
CBCUDI010000027.1	+	57428	57658	231	CBCUDI010000027.1	+	57546	57786	241	76.3%
CBCUDI010000027.1	+	57428	57690	263	CBCUDI010000027.1	+	57514	57786	273	78.5%
CBCUDI010000027.1	+	57428	57738	311	CBCUDI010000027.1	+	57482	57786	305	83.0%
CBCUDI010000027.1	+	57453	57925	473	CBCUDI010000027.1	+	57485	57959	475	79.1%
CBCUDI010000027.1	+	57482	57786	305	CBCUDI010000027.1	+	57428	57738	311	83.0%
CBCUDI010000027.1	+	57485	57959	475	CBCUDI010000027.1	+	57453	57925	473	79.1%
CBCUDI010000027.1	+	57514	57786	273	CBCUDI010000027.1	+	57428	57690	263	78.5%
CBCUDI010000027.1	+	57546	57786	241	CBCUDI010000027.1	+	57428	57658	231	76.3%
CBCUDI010000027.1	+	57549	57786	238	CBCUDI010000027.1	+	67964	68137	174	82.2%
CBCUDI010000027.1	+	57564	57904	341	CBCUDI010000027.1	+	47884	48173	290	74.9%
CBCUDI010000027.1	+	57568	57904	337	CBCUDI010000027.1	+	78764	79115	352	74.5%
CBCUDI010000027.1	+	57582	57959	378	CBCUDI010000027.1	+	88362	88753	392	70.1%
CBCUDI010000027.1	+	57582	57784	203	CBCUDI010000027.1	+	97888	98090	203	81.3%
CBCUDI010000027.1	+	57598	57786	189	CBCUDI010000027.1	+	107911	108124	214	79.9%
CBCUDI010000027.1	+	60408	60939	532	CBCUDI010000027.1	+	60464	60946	483	72.3%
CBCUDI010000027.1	+	60446	60910	465	CBCUDI010000027.1	+	70686	71249	564	72.2%
CBCUDI010000027.1	+	60464	60946	483	CBCUDI010000027.1	+	60408	60939	532	72.3%
CBCUDI010000027.1	+	60873	61208	336	CBCUDI010000027.1	+	50662	50999	338	88.7%
CBCUDI010000027.1	+	60918	75363	14446	CBCUDI010000027.1	+	31823	45397	13575	86.1%
CBCUDI010000027.1	+	62502	62620	119	CBCUDI010000027.1	+	112880	113017	138	73.1%
CBCUDI010000027.1	+	63868	64303	436	CBCUDI010000027.1	+	113422	113880	459	76.8%
CBCUDI010000027.1	+	64339	64425	87	CBCUDI010000027.1	+	54075	54181	107	92.0%
CBCUDI010000027.1	+	64339	64490	152	CBCUDI010000027.1	+	54038	54172	135	94.0%
CBCUDI010000027.1	+	64339	64576	238	CBCUDI010000027.1	+	64450	64689	240	89.9%
CBCUDI010000027.1	+	64339	64604	266	CBCUDI010000027.1	+	64413	64680	268	91.7%
CBCUDI010000027.1	+	64339	64659	321	CBCUDI010000027.1	+	64376	64694	319	91.8%
CBCUDI010000027.1	+	64341	64490	150	CBCUDI010000027.1	+	64528	64680	153	91.3%
CBCUDI010000027.1	+	64341	64425	85	CBCUDI010000027.1	+	64604	64689	86	90.6%
CBCUDI010000027.1	+	64341	64538	198	CBCUDI010000027.1	+	64490	64689	200	88.8%
CBCUDI010000027.1	+	64341	64604	264	CBCUDI010000027.1	+	54022	54172	151	82.6%
CBCUDI010000027.1	+	64360	64687	328	CBCUDI010000027.1	+	64341	64669	329	77.5%
CBCUDI010000027.1	+	64376	64538	163	CBCUDI010000027.1	+	54001	54144	144	94.4%
CBCUDI010000027.1	+	64376	64694	319	CBCUDI010000027.1	+	64339	64659	321	91.8%
CBCUDI010000027.1	+	64413	64556	144	CBCUDI010000027.1	+	54001	54143	143	91.6%
CBCUDI010000027.1	+	64413	64680	268	CBCUDI010000027.1	+	64339	64604	266	91.7%
CBCUDI010000027.1	+	64450	64594	145	CBCUDI010000027.1	+	54001	54143	143	90.9%
CBCUDI010000027.1	+	64450	64687	238	CBCUDI010000027.1	+	64339	64593	255	84.7%
CBCUDI010000027.1	+	64471	64686	216	CBCUDI010000027.1	+	64341	64554	214	78.4%
CBCUDI010000027.1	+	64490	64689	200	CBCUDI010000027.1	+	64341	64538	198	88.8%
CBCUDI010000027.1	+	64490	64632	143	CBCUDI010000027.1	+	54003	54143	141	91.5%
CBCUDI010000027.1	+	64528	64680	153	CBCUDI010000027.1	+	64341	64490	150	91.3%
CBCUDI010000027.1	+	64528	64680	153	CBCUDI010000027.1	+	54003	54153	151	92.7%
CBCUDI010000027.1	+	64566	64689	124	CBCUDI010000027.1	+	64341	64462	122	91.8%
CBCUDI010000027.1	+	64566	64694	129	CBCUDI010000027.1	+	54003	54132	130	92.1%
CBCUDI010000027.1	+	64604	64689	86	CBCUDI010000027.1	+	64341	64425	85	90.6%
CBCUDI010000027.1	+	64604	64689	86	CBCUDI010000027.1	+	54003	54087	85	91.8%
CBCUDI010000027.1	+	64642	64764	123	CBCUDI010000027.1	+	85541	85653	113	77.8%
CBCUDI010000027.1	+	64642	64689	48	CBCUDI010000027.1	+	54003	54050	48	93.8%
CBCUDI010000027.1	+	64642	64798	157	CBCUDI010000027.1	+	45032	45208	177	75.8%
CBCUDI010000027.1	+	64642	64764	123	CBCUDI010000027.1	+	74999	75127	129	81.3%
CBCUDI010000027.1	+	65205	75379	10175	CBCUDI010000027.1	+	85608	95423	9816	87.6%
CBCUDI010000027.1	+	65242	65508	267	CBCUDI010000027.1	+	75125	75379	255	87.1%
CBCUDI010000027.1	+	65242	75127	9886	CBCUDI010000027.1	+	95162	104801	9640	88.5%
CBCUDI010000027.1	+	65242	71123	5882	CBCUDI010000027.1	+	45158	51057	5900	91.7%
CBCUDI010000027.1	+	65433	75379	9947	CBCUDI010000027.1	+	76268	85903	9636	88.3%
CBCUDI010000027.1	+	67962	68137	176	CBCUDI010000027.1	+	88423	88614	192	77.3%
CBCUDI010000027.1	+	67989	68147	159	CBCUDI010000027.1	+	97879	98054	176	79.7%
CBCUDI010000027.1	+	70539	71457	919	CBCUDI010000027.1	+	70870	71604	735	73.1%
CBCUDI010000027.1	+	70697	71487	791	CBCUDI010000027.1	+	70905	71604	700	74.7%
CBCUDI010000027.1	+	70770	71631	862	CBCUDI010000027.1	+	70897	71663	767	77.1%
CBCUDI010000027.1	+	70771	71280	510	CBCUDI010000027.1	+	71075	71604	530	67.2%
CBCUDI010000027.1	+	70870	71604	735	CBCUDI010000027.1	+	70539	71428	890	72.0%
CBCUDI010000027.1	+	70897	71511	615	CBCUDI010000027.1	+	81636	82070	435	70.4%
CBCUDI010000027.1	+	70897	71249	353	CBCUDI010000027.1	+	91234	91614	381	68.8%
CBCUDI010000027.1	+	70897	71513	617	CBCUDI010000027.1	+	60406	60908	503	69.7%
CBCUDI010000027.1	+	70897	71279	383	CBCUDI010000027.1	+	110826	111235	410	68.0%
CBCUDI010000027.1	+	70897	71663	767	CBCUDI010000027.1	+	70770	71631	862	77.1%
CBCUDI010000027.1	+	70905	71604	700	CBCUDI010000027.1	+	70697	71487	791	74.7%
CBCUDI010000027.1	+	70965	71339	375	CBCUDI010000027.1	+	71224	71604	381	76.3%
CBCUDI010000027.1	+	70973	71397	425	CBCUDI010000027.1	+	110730	111235	506	68.1%
CBCUDI010000027.1	+	70973	71632	660	CBCUDI010000027.1	+	60310	60935	626	69.1%
CBCUDI010000027.1	+	71007	71604	598	CBCUDI010000027.1	+	81574	82046	473	68.8%
CBCUDI010000027.1	+	71075	71604	530	CBCUDI010000027.1	+	70771	71280	510	67.2%
CBCUDI010000027.1	+	71092	71398	307	CBCUDI010000027.1	+	71304	71604	301	78.4%
CBCUDI010000027.1	+	71161	72211	1051	CBCUDI010000027.1	+	91231	92232	1002	78.5%
CBCUDI010000027.1	+	71193	71680	488	CBCUDI010000027.1	+	71223	71702	480	83.6%
CBCUDI010000027.1	+	71223	71309	87	CBCUDI010000027.1	+	111149	111235	87	81.4%
CBCUDI010000027.1	+	71223	71604	382	CBCUDI010000027.1	+	71098	71516	419	85.9%
CBCUDI010000027.1	+	71223	71639	417	CBCUDI010000027.1	+	71193	71601	409	86.4%
CBCUDI010000027.1	+	71224	71630	407	CBCUDI010000027.1	+	70965	71384	420	73.8%
CBCUDI010000027.1	+	71253	71604	352	CBCUDI010000027.1	+	70965	71339	375	76.3%
CBCUDI010000027.1	+	71304	71604	301	CBCUDI010000027.1	+	71092	71398	307	78.4%
CBCUDI010000027.1	+	71341	71604	264	CBCUDI010000027.1	+	71193	71457	265	87.0%
CBCUDI010000027.1	+	71372	71601	230	CBCUDI010000027.1	+	111016	111271	256	71.2%
CBCUDI010000027.1	+	71392	71771	380	CBCUDI010000027.1	+	111006	111402	397	80.5%
CBCUDI010000027.1	+	71392	72340	949	CBCUDI010000027.1	+	41362	42317	956	83.2%
CBCUDI010000027.1	+	71566	75127	3562	CBCUDI010000027.1	+	50662	54256	3595	87.6%
CBCUDI010000027.1	+	71611	75127	3517	CBCUDI010000027.1	+	31823	35402	3580	83.7%
CBCUDI010000027.1	+	75068	75379	312	CBCUDI010000027.1	+	105231	105541	311	83.3%
CBCUDI010000027.1	+	75125	75379	255	CBCUDI010000027.1	+	35887	36152	266	87.4%
CBCUDI010000027.1	+	75125	75379	255	CBCUDI010000027.1	+	65242	65508	267	87.1%
CBCUDI010000027.1	+	75125	75400	276	CBCUDI010000027.1	+	54724	55010	287	87.2%
CBCUDI010000027.1	+	76267	85653	9387	CBCUDI010000027.1	+	45345	54256	8912	87.6%
CBCUDI010000027.1	+	76268	85903	9636	CBCUDI010000027.1	+	65433	75379	9947	88.3%
CBCUDI010000027.1	+	76268	95104	18837	CBCUDI010000027.1	+	36077	54050	17974	88.9%
CBCUDI010000027.1	+	76268	93438	17171	CBCUDI010000027.1	+	95348	113202	17855	88.9%
CBCUDI010000027.1	+	76268	83917	7650	CBCUDI010000027.1	+	105466	113202	7737	88.5%
CBCUDI010000027.1	+	76268	85593	9326	CBCUDI010000027.1	+	54915	64388	9474	91.6%
CBCUDI010000027.1	+	76268	103100	26833	CBCUDI010000027.1	+	85828	113266	27439	91.6%
