#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
NC_088381.1	+	1	1982879	1982879	NC_088381.1	+	1	1982879	1982879	100.0%
NC_088381.1	+	37840	63185	25346	NC_088381.1	+	77872	104181	26310	89.3%
NC_088381.1	+	77872	104181	26310	NC_088381.1	+	37840	63185	25346	89.3%
NC_088381.1	+	1239518	1325913	86396	NC_088381.1	+	1691163	1777662	86500	96.9%
NC_088381.1	+	1239518	1406063	166546	NC_088381.1	+	1514764	1681531	166768	98.7%
NC_088381.1	+	1253901	1299546	45646	NC_088381.1	+	1360198	1406056	45859	97.0%
NC_088381.1	+	1253901	1307518	53618	NC_088381.1	+	1635370	1689502	54133	98.1%
NC_088381.1	+	1271400	1299553	28154	NC_088381.1	+	1470854	1498937	28084	97.2%
NC_088381.1	+	1360198	1406056	45859	NC_088381.1	+	1253901	1299546	45646	96.9%
NC_088381.1	+	1360198	1406056	45859	NC_088381.1	+	1528884	1574776	45893	97.0%
NC_088381.1	+	1360198	1406056	45859	NC_088381.1	+	1705131	1751010	45880	96.7%
NC_088381.1	+	1378076	1426888	48813	NC_088381.1	+	1470854	1519821	48968	97.7%
NC_088381.1	+	1435813	1462390	26578	NC_088381.1	+	1520467	1546742	26276	97.3%
NC_088381.1	+	1435813	1462390	26578	NC_088381.1	+	1696534	1722989	26456	96.5%
NC_088381.1	+	1435814	1462390	26577	NC_088381.1	+	1244922	1271474	26553	96.9%
NC_088381.1	+	1470854	1498937	28084	NC_088381.1	+	1653372	1681534	28163	97.1%
NC_088381.1	+	1470854	1498937	28084	NC_088381.1	+	1271400	1299553	28154	97.2%
NC_088381.1	+	1470854	1498937	28084	NC_088381.1	+	1546668	1574783	28116	97.2%
NC_088381.1	+	1470854	1505351	34498	NC_088381.1	+	1378076	1413088	35013	97.4%
NC_088381.1	+	1470882	1498937	28056	NC_088381.1	+	1722935	1751017	28083	98.2%
NC_088381.1	+	1505445	1601108	95664	NC_088381.1	+	1681512	1777662	96151	97.0%
NC_088381.1	+	1514764	1681531	166768	NC_088381.1	+	1239518	1406063	166546	98.7%
NC_088381.1	+	1520467	1546742	26276	NC_088381.1	+	1435813	1462390	26578	97.3%
NC_088381.1	+	1528884	1574776	45893	NC_088381.1	+	1360198	1406056	45859	97.0%
NC_088381.1	+	1528884	1582749	53866	NC_088381.1	+	1635370	1689502	54133	98.4%
NC_088381.1	+	1546668	1574783	28116	NC_088381.1	+	1470854	1498937	28084	97.2%
NC_088381.1	+	1635370	1689502	54133	NC_088381.1	+	1705131	1759290	54160	96.3%
NC_088381.1	+	1635370	1689502	54133	NC_088381.1	+	1253901	1307518	53618	98.1%
NC_088381.1	+	1635370	1689502	54133	NC_088381.1	+	1528884	1582749	53866	98.4%
NC_088381.1	+	1653372	1681534	28163	NC_088381.1	+	1470854	1498937	28084	97.1%
NC_088381.1	+	1681512	1777662	96151	NC_088381.1	+	1505445	1601108	95664	97.0%
NC_088381.1	+	1691163	1777662	86500	NC_088381.1	+	1239518	1325913	86396	96.9%
NC_088381.1	+	1696534	1722989	26456	NC_088381.1	+	1435813	1462390	26578	96.5%
NC_088381.1	+	1705131	1759290	54160	NC_088381.1	+	1635370	1689502	54133	96.6%
NC_088381.1	+	1705131	1751010	45880	NC_088381.1	+	1360198	1406056	45859	96.8%
NC_088381.1	+	1722935	1751017	28083	NC_088381.1	+	1470882	1498937	28056	98.2%
