#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
NC_065584.1	+	1	102282	102282	NC_092131.1	+	3	102560	102558	99.1%
NC_065584.1	+	3	8030	8028	NC_092131.1	+	1243057	1251337	8281	82.4%
NC_065584.1	+	10	1078	1069	NC_092131.1	+	55780	56826	1047	84.3%
NC_065584.1	+	298	8159	7862	NC_092131.1	+	1049720	1057143	7424	82.2%
NC_065584.1	+	311	8175	7865	NC_092131.1	+	1213248	1220161	6914	82.7%
NC_065584.1	+	1002	2907	1906	NC_092131.1	+	66467	68363	1897	87.4%
NC_065584.1	+	5624	8190	2567	NC_092131.1	+	68675	71335	2661	76.3%
NC_065584.1	+	6606	8159	1554	NC_092131.1	+	378936	380640	1705	65.3%
NC_065584.1	+	6628	8190	1563	NC_092131.1	+	159684	161041	1358	72.4%
NC_065584.1	+	7280	8170	891	NC_092131.1	+	379262	380051	790	76.7%
NC_065584.1	+	7280	8168	889	NC_092131.1	+	1219220	1220133	914	82.9%
NC_065584.1	+	7280	8159	880	NC_092131.1	+	1055778	1056698	921	83.0%
NC_065584.1	+	7283	8159	877	NC_092131.1	+	1088345	1089212	868	82.0%
NC_065584.1	+	7283	8159	877	NC_092131.1	+	1250463	1251307	845	82.9%
NC_065584.1	+	7284	8190	907	NC_092131.1	+	69979	71022	1044	83.2%
NC_065584.1	+	7634	8159	526	NC_092131.1	+	704563	705242	680	77.3%
NC_065584.1	+	7730	8151	422	NC_092131.1	+	1219615	1220041	427	77.9%
NC_065584.1	+	7757	8159	403	NC_092131.1	+	1056378	1056834	457	81.4%
NC_065584.1	+	7758	8159	402	NC_092131.1	+	331908	332271	364	78.2%
NC_065584.1	+	7758	8159	402	NC_092131.1	+	1391150	1391647	498	78.7%
NC_065584.1	+	7759	8190	432	NC_092131.1	+	380056	380559	504	74.9%
NC_065584.1	+	7759	8159	401	NC_092131.1	+	70927	71421	495	79.9%
NC_065584.1	+	7776	8159	384	NC_092131.1	+	960890	961323	434	79.2%
NC_065584.1	+	7852	8190	339	NC_092131.1	+	1219688	1220044	357	75.4%
NC_065584.1	+	7882	8155	274	NC_092131.1	+	815890	816173	284	79.8%
NC_065584.1	+	8168	9554	1387	NC_092131.1	+	641119	642807	1689	83.5%
NC_065584.1	+	8168	9188	1021	NC_092131.1	+	1252034	1252938	905	76.0%
NC_065584.1	+	8168	9554	1387	NC_092131.1	+	962612	964594	1983	83.5%
NC_065584.1	+	8168	9554	1387	NC_092131.1	+	1058379	1060063	1685	85.1%
NC_065584.1	+	8168	9049	882	NC_092131.1	+	680698	681447	750	73.9%
NC_065584.1	+	8168	12383	4216	NC_092131.1	+	73389	77656	4268	85.5%
NC_065584.1	+	8168	12648	4481	NC_092131.1	+	1090057	1094454	4398	85.7%
