#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
NC_088381.1	+	631247	652508	21262	NC_065584.1	+	777670	799214	21545	97.5%
NC_088381.1	+	673604	695036	21433	NC_065584.1	+	685875	707643	21769	97.0%
NC_088381.1	+	28	37879	37852	NC_065584.1	-	1549187	1586547	37361	99.1%
NC_088381.1	+	37840	63185	25346	NC_065584.1	-	1482830	1508979	26150	89.3%
NC_088381.1	+	37840	157293	119454	NC_065584.1	-	1429763	1548688	118926	97.6%
NC_088381.1	+	45852	64912	19061	NC_065584.1	-	1511265	1531269	20005	88.9%
NC_088381.1	+	76727	104181	27455	NC_065584.1	-	1523385	1549890	26506	89.2%
NC_088381.1	+	157280	192779	35500	NC_065584.1	-	1393094	1428758	35665	99.2%
NC_088381.1	+	212676	257109	44434	NC_065584.1	-	1321085	1365558	44474	99.3%
NC_088381.1	+	257123	277247	20125	NC_065584.1	-	1301525	1321538	20014	98.2%
NC_088381.1	+	278993	302730	23738	NC_065584.1	-	1273490	1297287	23798	98.0%
NC_088381.1	+	329633	478443	148811	NC_065584.1	-	1072514	1221179	148666	98.8%
NC_088381.1	+	480545	516124	35580	NC_065584.1	-	1036075	1072157	36083	98.5%
NC_088381.1	+	516573	589138	72566	NC_065584.1	-	963176	1036080	72905	98.5%
NC_088381.1	+	589514	671212	81699	NC_065584.1	-	881659	963204	81546	98.7%
NC_088381.1	+	922095	979310	57216	NC_065584.1	-	604497	661916	57420	98.9%
NC_088381.1	+	931407	952200	20794	NC_065584.1	-	859067	881158	22092	95.1%
NC_088381.1	+	979284	1008670	29387	NC_065584.1	-	574783	604203	29421	98.5%
NC_088381.1	+	1008646	1074401	65756	NC_065584.1	-	506968	573085	66118	99.1%
NC_088381.1	+	1081885	1104379	22495	NC_065584.1	-	474594	497125	22532	97.4%
NC_088381.1	+	1151219	1193729	42511	NC_065584.1	-	363871	406727	42857	98.4%
NC_088381.1	+	1271400	1335519	64120	NC_065584.1	-	206717	271316	64600	98.1%
NC_088381.1	+	1294341	1378150	83810	NC_065584.1	-	279780	363369	83590	98.2%
NC_088381.1	+	1378076	1406056	27981	NC_065584.1	-	243239	271316	28078	97.6%
NC_088381.1	+	1448366	1498937	50572	NC_065584.1	-	243232	294083	50852	98.5%
NC_088381.1	+	1546668	1610691	64024	NC_065584.1	-	206717	271316	64600	98.0%
NC_088381.1	+	1569571	1653446	83876	NC_065584.1	-	279780	363369	83590	98.2%
NC_088381.1	+	1653372	1689502	36131	NC_065584.1	-	234935	271316	36382	97.1%
NC_088381.1	+	1722935	1777662	54728	NC_065584.1	-	216275	271288	55014	97.7%
NC_088381.1	+	1745835	1777662	31828	NC_065584.1	-	331813	363369	31557	97.9%
NC_088381.1	+	1783828	1846275	62448	NC_065584.1	-	154333	216286	61954	98.9%
NC_088381.1	+	1844068	1982879	138812	NC_065584.1	-	18587	157133	138547	99.3%
