#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CM049493.1	+	1	45890	45890	CM091517.1	-	1790078	1836864	46787	98.1%
CM049493.1	+	36088	72700	36613	CM091517.1	-	1741854	1779728	37875	88.9%
CM049493.1	+	65953	103348	37396	CM091517.1	-	1752292	1789877	37586	95.0%
CM049493.1	+	84946	176050	91105	CM091517.1	-	1669037	1760190	91154	97.9%
CM049493.1	+	175920	242473	66554	CM091517.1	-	1602489	1668828	66340	97.8%
CM049493.1	+	230965	254207	23243	CM091517.1	-	1537773	1561037	23265	98.4%
CM049493.1	+	269010	292480	23471	CM091517.1	-	1514686	1537779	23094	99.0%
CM049493.1	+	295008	478353	183346	CM091517.1	-	1331097	1514688	183592	99.0%
CM049493.1	+	345907	379116	33210	CM091517.1	-	1234074	1267327	33254	96.6%
CM049493.1	+	480946	541634	60689	CM091517.1	-	1267329	1328479	61151	97.8%
CM049493.1	+	562674	613905	51232	CM091517.1	-	1173604	1225579	51976	98.3%
CM049493.1	+	608700	628878	20179	CM091517.1	-	976544	997032	20489	96.4%
CM049493.1	+	668650	701294	32645	CM091517.1	-	973918	1006490	32573	98.1%
CM049493.1	+	731793	804939	73147	CM091517.1	-	901018	973962	72945	98.4%
CM049493.1	+	735867	762423	26557	CM091517.1	-	997014	1023162	26149	94.5%
CM049493.1	+	781137	804930	23794	CM091517.1	-	1063561	1087021	23461	97.0%
