#name1	start1	end1	name2	start2	end2	strand2	identity	idPct	score
NC_088381.1	1346206	1365438	RepeatA	1	19175	-	18471/19017	97.1%	1688680
NC_088381.1	1621380	1640671	RepeatA	1	19175	-	18448/19015	97.0%	1684120
NC_088381.1	1288902	1317725	RepeatB	1	28815	-	28151/28756	97.9%	2606849
NC_088381.1	1395454	1406063	RepeatB	1	10648	-	10243/10584	96.8%	932917
NC_088381.1	1488305	1498937	RepeatB	1	10651	-	10326/10611	97.3%	949540
NC_088381.1	1564133	1592936	RepeatB	1	28815	-	28151/28742	97.9%	2606429
NC_088381.1	1670886	1689502	RepeatB	1	18620	-	18261/18597	98.2%	1699128
NC_088381.1	1740391	1769481	RepeatB	1	28815	-	27887/28685	97.2%	2542428
NC_088381.1	1244922	1284923	RepeatC	2	39911	-	38820/39557	98.1%	3586181
NC_088381.1	1360198	1391502	RepeatC	8660	39911	-	30143/31047	97.1%	2755285
NC_088381.1	1435813	1448109	RepeatC	1	12239	-	11956/12221	97.8%	1110060
NC_088381.1	1448366	1462390	RepeatC	12168	26473	-	13631/13905	98.0%	1249575
NC_088381.1	1470854	1484289	RepeatC	26399	39911	-	13016/13375	97.3%	1188850
NC_088381.1	1520467	1560162	RepeatC	1	39911	-	38845/39533	98.3%	3603752
NC_088381.1	1635370	1666882	RepeatC	8660	39911	-	30651/31217	98.2%	2846215
NC_088381.1	1696534	1736375	RepeatC	1	39911	-	37934/39223	96.7%	3433194
