#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
NC_088381.1	+	1	37830	37830	CBCUDI010000027.1	+	340	36739	36400	97.2%
NC_088381.1	+	32725	63185	30461	CBCUDI010000027.1	+	82111	113202	31092	87.6%
NC_088381.1	+	37840	95731	57892	CBCUDI010000027.1	+	37265	95164	57900	95.6%
NC_088381.1	+	45852	64912	19061	CBCUDI010000027.1	+	54724	75127	20404	88.2%
NC_088381.1	+	76727	104181	27455	CBCUDI010000027.1	+	36077	62742	26666	89.1%
NC_088381.1	+	76727	141799	65073	CBCUDI010000027.1	+	85828	151111	65284	96.3%
NC_088381.1	+	154060	192779	38720	CBCUDI010000027.1	+	151104	190601	39498	97.8%
NC_088381.1	+	192781	216222	23442	CBCUDI010000027.1	+	197813	221290	23478	97.9%
NC_088381.1	+	328472	374689	46218	CBCUDI010000027.1	+	293699	340244	46546	97.8%
NC_088381.1	+	375962	513878	137917	CBCUDI010000027.1	+	340244	478790	138547	97.6%
NC_088381.1	+	516573	579281	62709	CBCUDI010000027.1	+	480909	543871	62963	97.2%
NC_088381.1	+	601197	637746	36550	CBCUDI010000027.1	+	558933	595703	36771	96.6%
NC_088381.1	+	818719	846645	27927	CBCUDI010000027.1	+	725670	753772	28103	94.9%
NC_088381.1	+	831800	862062	30263	CBCUDI010000027.1	+	756040	786538	30499	95.0%
NC_088381.1	+	1008669	1104385	95717	CBCUDI010000027.1	+	859878	956762	96885	97.1%
NC_088381.1	+	1151219	1175893	24675	CBCUDI010000027.1	+	1019767	1044488	24722	97.3%
NC_088381.1	+	1177007	1206514	29508	CBCUDI010000027.1	+	1108234	1138239	30006	96.0%
NC_088381.1	+	1225861	1251848	25988	CBCUDI010000027.1	+	1168736	1194548	25813	96.9%
NC_088381.1	+	1264430	1310796	46367	CBCUDI010000027.1	+	1206984	1253215	46232	96.6%
NC_088381.1	+	1346206	1378271	32066	CBCUDI010000027.1	+	1288261	1320434	32174	96.1%
NC_088381.1	+	1370874	1406056	35183	CBCUDI010000027.1	+	1206984	1242238	35255	97.1%
NC_088381.1	+	1470882	1498937	28056	CBCUDI010000027.1	+	1214170	1242245	28076	97.1%
NC_088381.1	+	1514764	1539474	24711	CBCUDI010000027.1	+	1182098	1206673	24576	96.3%
NC_088381.1	+	1539439	1586027	46589	CBCUDI010000027.1	+	1206984	1253215	46232	96.6%
NC_088381.1	+	1621380	1653563	32184	CBCUDI010000027.1	+	1288261	1320430	32170	96.1%
NC_088381.1	+	1646114	1689502	43389	CBCUDI010000027.1	+	1206984	1249887	42904	96.5%
NC_088381.1	+	1691163	1715841	24679	CBCUDI010000027.1	+	1182098	1206673	24576	96.9%
NC_088381.1	+	1715806	1762569	46764	CBCUDI010000027.1	+	1206984	1253217	46234	96.6%
NC_088381.1	+	1821421	1850096	28676	CBCUDI010000027.1	+	1345019	1373993	28975	96.9%
NC_088381.1	+	1851566	1899208	47643	CBCUDI010000027.1	+	1373986	1421374	47389	97.6%
NC_088381.1	+	1920540	1947262	26723	CBCUDI010000027.1	+	1431841	1458064	26224	97.4%
NC_088381.1	+	1947209	1982879	35671	CBCUDI010000027.1	+	1464208	1499816	35609	97.5%
