#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
CM049493.1	+	1	103348	103348	NC_092131.1	-	1549372	1653286	103915	97.0%
CM049493.1	+	36088	72700	36613	NC_092131.1	-	1538936	1576763	37828	89.1%
CM049493.1	+	75582	103284	27703	NC_092131.1	-	1589879	1616453	26575	89.0%
CM049493.1	+	84946	242473	157528	NC_092131.1	-	1399804	1557269	157466	97.7%
CM049493.1	+	230965	267442	36478	NC_092131.1	-	1307820	1344276	36457	98.5%
CM049493.1	+	268533	292480	23948	NC_092131.1	-	1284254	1307826	23573	99.0%
CM049493.1	+	295008	471462	176455	NC_092131.1	-	1107326	1284256	176931	98.9%
CM049493.1	+	480946	551134	70189	NC_092131.1	-	1036361	1106438	70078	98.7%
CM049493.1	+	562674	613905	51232	NC_092131.1	-	976113	1028077	51965	98.4%
CM049493.1	+	680633	735871	55239	NC_092131.1	-	813193	868099	54907	98.5%
CM049493.1	+	731793	777451	45659	NC_092131.1	-	672124	717653	45530	98.2%
CM049493.1	+	781137	809841	28705	NC_092131.1	-	860798	889554	28757	97.9%
CM049493.1	+	831430	856153	24724	NC_092131.1	-	794780	818534	23755	95.2%
