#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
NC_065584.1	+	1	102282	102282	CM091517.1	+	2	102871	102870	99.1%
NC_065584.1	+	3	8030	8028	CM091517.1	+	1473454	1481740	8287	82.9%
NC_065584.1	+	10	1078	1069	CM091517.1	+	55761	56807	1047	84.3%
NC_065584.1	+	298	8159	7862	CM091517.1	+	1271169	1278264	7096	82.5%
NC_065584.1	+	311	8168	7858	CM091517.1	+	1247179	1254169	6991	82.5%
NC_065584.1	+	311	8175	7865	CM091517.1	+	1443656	1450584	6929	82.3%
NC_065584.1	+	1002	2907	1906	CM091517.1	+	66469	68365	1897	87.5%
NC_065584.1	+	5624	8159	2536	CM091517.1	+	68677	71110	2434	77.4%
NC_065584.1	+	6606	8159	1554	CM091517.1	+	560247	561951	1705	65.2%
NC_065584.1	+	7280	8170	891	CM091517.1	+	560573	561362	790	76.7%
NC_065584.1	+	7280	8169	890	CM091517.1	+	160336	161360	1025	73.7%
NC_065584.1	+	7280	8190	911	CM091517.1	+	1253136	1254061	926	81.3%
NC_065584.1	+	7280	8159	880	CM091517.1	+	1277252	1278185	934	84.0%
NC_065584.1	+	7280	8168	889	CM091517.1	+	1449622	1450556	935	82.9%
NC_065584.1	+	7283	8154	872	CM091517.1	+	1310209	1311071	863	81.8%
NC_065584.1	+	7283	8159	877	CM091517.1	+	1480867	1481710	844	82.6%
NC_065584.1	+	7284	8190	907	CM091517.1	+	69981	71024	1044	83.2%
NC_065584.1	+	7633	8138	506	CM091517.1	+	960989	961642	654	77.8%
NC_065584.1	+	7633	8182	550	CM091517.1	+	1014062	1014531	470	77.0%
NC_065584.1	+	7642	8163	522	CM091517.1	+	972571	972968	398	79.9%
NC_065584.1	+	7730	8151	422	CM091517.1	+	1450019	1450445	427	77.9%
NC_065584.1	+	7748	8159	412	CM091517.1	+	595712	596151	440	76.1%
NC_065584.1	+	7748	8159	412	CM091517.1	+	859534	860014	481	77.6%
NC_065584.1	+	7748	8159	412	CM091517.1	+	597861	598300	440	78.1%
NC_065584.1	+	7752	8159	408	CM091517.1	+	597672	598128	457	78.1%
NC_065584.1	+	7752	8159	408	CM091517.1	+	596663	597081	419	77.1%
NC_065584.1	+	7752	8159	408	CM091517.1	+	893050	893477	428	78.3%
NC_065584.1	+	7752	8159	408	CM091517.1	+	862632	863059	428	78.8%
NC_065584.1	+	7752	8190	439	CM091517.1	+	861712	862173	462	77.6%
NC_065584.1	+	7757	8190	434	CM091517.1	+	1277692	1278141	450	73.6%
NC_065584.1	+	7758	8159	402	CM091517.1	+	1278122	1278574	453	76.6%
NC_065584.1	+	7758	8159	402	CM091517.1	+	503375	503738	364	78.0%
NC_065584.1	+	7758	8159	402	CM091517.1	+	331764	332185	422	76.8%
NC_065584.1	+	7758	8159	402	CM091517.1	+	1593831	1594328	498	79.0%
NC_065584.1	+	7759	8190	432	CM091517.1	+	561367	561870	504	74.9%
NC_065584.1	+	7759	8190	432	CM091517.1	+	1014326	1014788	463	75.4%
NC_065584.1	+	7759	8168	410	CM091517.1	+	1277948	1278426	479	79.0%
NC_065584.1	+	7759	8159	401	CM091517.1	+	70929	71423	495	80.2%
NC_065584.1	+	7759	8159	401	CM091517.1	+	71242	71736	495	80.2%
NC_065584.1	+	7759	8092	334	CM091517.1	+	7841	8189	349	80.1%
NC_065584.1	+	7760	8158	399	CM091517.1	+	1278203	1278630	428	76.7%
NC_065584.1	+	7760	8131	372	CM091517.1	+	1278900	1279298	399	78.2%
NC_065584.1	+	7760	8159	400	CM091517.1	+	1278687	1279190	504	81.5%
NC_065584.1	+	7773	8151	379	CM091517.1	+	1253647	1254058	412	79.8%
NC_065584.1	+	7776	8159	384	CM091517.1	+	1158362	1158795	434	79.2%
NC_065584.1	+	7810	8190	381	CM091517.1	+	1277760	1278180	421	77.5%
NC_065584.1	+	7852	8190	339	CM091517.1	+	1450092	1450448	357	75.4%
NC_065584.1	+	7859	8158	300	CM091517.1	+	1593832	1594122	291	77.6%
NC_065584.1	+	8168	9554	1387	CM091517.1	+	1280006	1281679	1674	84.7%
NC_065584.1	+	8168	9554	1387	CM091517.1	+	1160084	1162071	1988	83.6%
NC_065584.1	+	8168	9554	1387	CM091517.1	+	863782	865474	1693	83.7%
NC_065584.1	+	8168	9554	1387	CM091517.1	+	599007	600687	1681	84.2%
NC_065584.1	+	8168	9554	1387	CM091517.1	+	1047843	1049536	1694	83.3%
NC_065584.1	+	8168	9188	1021	CM091517.1	+	1482458	1483358	901	75.7%
NC_065584.1	+	8168	9049	882	CM091517.1	+	937109	937855	747	74.4%
NC_065584.1	+	8168	12648	4481	CM091517.1	+	1311871	1316227	4357	85.8%
NC_065584.1	+	8168	12383	4216	CM091517.1	+	73704	77968	4265	85.6%
NC_065584.1	+	8169	9049	881	CM091517.1	+	1103963	1104730	768	74.1%
NC_065584.1	+	9486	10518	1033	CM091517.1	+	456626	457663	1038	68.1%
NC_065584.1	+	9486	10518	1033	CM091517.1	+	292767	293812	1046	68.7%
NC_065584.1	+	9530	11976	2447	CM091517.1	+	1606899	1609286	2388	78.0%
NC_065584.1	+	9530	11596	2067	CM091517.1	+	568946	570930	1985	76.7%
NC_065584.1	+	9533	12649	3117	CM091517.1	+	1285779	1288697	2919	82.8%
NC_065584.1	+	9536	11964	2429	CM091517.1	+	1554024	1556382	2359	77.5%
NC_065584.1	+	9538	10029	492	CM091517.1	+	407206	407684	479	76.2%
NC_065584.1	+	9549	10392	844	CM091517.1	+	1459326	1460168	843	84.2%
NC_065584.1	+	9549	10392	844	CM091517.1	+	1262941	1263779	839	84.0%
NC_065584.1	+	9554	11964	2411	CM091517.1	+	1232945	1235224	2280	77.3%
NC_065584.1	+	9554	11964	2411	CM091517.1	+	790216	792561	2346	77.1%
NC_065584.1	+	9563	11910	2348	CM091517.1	+	1387348	1389602	2255	76.6%
NC_065584.1	+	9566	10029	464	CM091517.1	+	1490849	1491301	453	73.9%
NC_065584.1	+	9566	11965	2400	CM091517.1	+	1213220	1215593	2374	76.6%
NC_065584.1	+	9566	10749	1184	CM091517.1	+	639934	641063	1130	78.3%
NC_065584.1	+	9566	11586	2021	CM091517.1	+	174078	176013	1936	77.2%
NC_065584.1	+	9566	10454	889	CM091517.1	+	1344948	1345820	873	76.9%
NC_065584.1	+	9582	10387	806	CM091517.1	+	1530357	1531150	794	76.4%
NC_065584.1	+	9584	11960	2377	CM091517.1	+	1487587	1489879	2293	75.2%
NC_065584.1	+	9592	11267	1676	CM091517.1	+	1619779	1621423	1645	70.6%
NC_065584.1	+	9602	10426	825	CM091517.1	+	1409107	1409922	816	76.7%
NC_065584.1	+	9604	10353	750	CM091517.1	+	492223	492963	741	76.9%
NC_065584.1	+	9604	10343	740	CM091517.1	+	320587	321320	734	77.8%
NC_065584.1	+	9604	10577	974	CM091517.1	+	517396	518372	977	73.1%
NC_065584.1	+	9605	11056	1452	CM091517.1	+	114447	115874	1428	70.8%
NC_065584.1	+	9607	11964	2358	CM091517.1	+	1361408	1363684	2277	76.4%
